grid_id,date,time,region,gmv,cnt_call,is_exp,const
OL10F1i392j591,2020/2/20,19,1,0.8519820335579138,2.79225105224921,1,1
OL10F1i392j591,2020/2/20,20,1,1.850744767140304,1.2330347291718613,0,1
OL10F1i392j591,2020/2/20,21,1,4.219036829292654,5.131075536865233,1,1
OL10F1i392j591,2020/2/20,22,1,0.8316361939505607,2.0126428907105356,0,1
OL10F1i392j591,2020/2/20,23,1,3.4437150128267313,3.571859213787884,1,1
OL10F1i392j591,2020/2/20,24,1,4.9689263462493845,4.351467375326558,0,1
OL10F1i392j591,2020/2/20,25,1,7.697812083585628,9.029116344558606,1,1
OL10F1i392j591,2020/2/20,26,1,6.0083807590464815,8.24950818301993,0,1
OL10F1i392j591,2020/2/20,27,1,7.239122396009139,5.910683698403907,1,1
OL10F1i392j591,2020/2/20,28,1,6.757906957438795,5.910683698403907,0,1
OL10F1i392j591,2020/2/20,29,1,4.152186213439922,7.469900021481258,1,1
OL10F1i392j591,2020/2/20,30,1,9.164892446701558,8.24950818301993,0,1
OL10F1i392j591,2020/2/20,31,1,15.304794526067,7.469900021481258,1,1
OL10F1i392j591,2020/2/20,32,1,3.309650462556851,4.351467375326558,0,1
OL10F1i392j591,2020/2/20,33,1,8.592302389180334,10.588332667635955,1,1
OL10F1i392j591,2020/2/20,34,1,10.512804320688707,7.469900021481258,0,1
OL10F1i392j591,2020/2/20,35,1,12.082885496816859,8.24950818301993,1,1
OL10F1i392j591,2020/2/20,36,1,7.1172290176472295,8.24950818301993,0,1
OL10F1i392j591,2020/2/20,37,1,3.6653393371211145,5.131075536865233,1,1
OL10F1i392j591,2020/2/20,38,1,20.84522097414436,12.927157152251977,0,1
OL10F1i392j591,2020/2/20,39,1,4.079522500556518,4.351467375326558,1,1
OL10F1i392j591,2020/2/20,40,1,7.668383279867849,11.367940829174628,0,1
OL10F1i392j591,2020/2/20,41,1,6.862361044708689,6.690291859942581,1,1
OL10F1i392j591,2020/2/20,42,1,11.032713186369461,5.910683698403907,0,1
OL10F1i392j591,2020/2/20,43,1,2.822440267673626,5.131075536865233,1,1
OL10F1i392j591,2020/2/20,44,1,10.803277512940115,19.164022444561372,0,1
OL10F1i392j591,2020/2/20,45,1,2.377556685544984,9.029116344558606,1,1
OL10F1i392j591,2020/2/20,46,1,2.661853462201303,5.131075536865233,0,1
OL10F1i392j591,2020/2/20,47,1,6.4231089003285105,5.131075536865233,1,1
OL10F1i392j591,2020/2/21,0,1,2.5279705712136304,2.0126428907105356,1,1
OL10F1i392j591,2020/2/21,1,1,3.369779684967868,4.351467375326558,0,1
OL10F1i392j591,2020/2/21,2,1,1.55246022575393,2.0126428907105356,1,1
OL10F1i392j591,2020/2/21,3,1,1.560634893453313,1.2330347291718613,0,1
OL10F1i392j591,2020/2/21,4,1,0.4497883827482718,0.4534265676331868,1,1
OL10F1i392j591,2020/2/21,5,1,0.0,-0.32618159390548757,0,1
OL10F1i392j591,2020/2/21,6,1,0.0,-0.32618159390548757,0,1
