grid_id,date,time,gmv,const,cnt_call
OL10F1i678j396,2018/11/13,47,0.713985203,1,-0.613376323
OL10F1i678j396,2018/11/14,0,0.387765066,1,-0.999725285
OL10F1i678j396,2018/11/14,1,0.390898956,1,-1.079267718
OL10F1i678j396,2018/11/14,2,0.423881767,1,-1.045178104
OL10F1i678j396,2018/11/14,3,0.428868902,1,-1.090630923
OL10F1i678j396,2018/11/14,4,0.2132831,1,-1.386074247
OL10F1i678j396,2018/11/14,5,0.128372525,1,-1.408800656
OL10F1i678j396,2018/11/14,6,0.09580223,1,-1.431527066
OL10F1i678j396,2018/11/14,7,0.055905157,1,-1.408800656
OL10F1i678j396,2018/11/14,8,0.097489235,1,-1.533795909
OL10F1i678j396,2018/11/14,9,0.033801686,1,-1.545159113
OL10F1i678j396,2018/11/14,10,0.115787708,1,-1.48834309
OL10F1i678j396,2018/11/14,11,0.281576052,1,-1.170173356
OL10F1i678j396,2018/11/14,12,0.333245224,1,-1.170173356
OL10F1i678j396,2018/11/14,13,0.530046153,1,-0.704281961
OL10F1i678j396,2018/11/14,14,2.587435977,1,0.841113885
OL10F1i678j396,2018/11/14,15,3.13552201,1,1.30700528
OL10F1i678j396,2018/11/14,16,3.336694378,1,1.556995785
OL10F1i678j396,2018/11/14,17,2.550401888,1,0.8752035
OL10F1i678j396,2018/11/14,18,2.73437788,1,1.261552461
OL10F1i678j396,2018/11/14,19,1.809233726,1,0.500217743
OL10F1i678j396,2018/11/14,20,2.278209037,1,0.045689552
OL10F1i678j396,2018/11/14,21,1.713111335,1,0.284316852
OL10F1i678j396,2018/11/14,22,1.839045706,1,0.1593216
OL10F1i678j396,2018/11/14,23,1.913637223,1,0.454764924
OL10F1i678j396,2018/11/14,24,2.196432352,1,0.409312105
OL10F1i678j396,2018/11/14,25,2.195047037,1,0.261590443
OL10F1i678j396,2018/11/14,26,2.194572952,1,0.625212995
OL10F1i678j396,2018/11/14,27,2.023908298,1,0.602486585
OL10F1i678j396,2018/11/14,28,1.867361545,1,0.307043262
OL10F1i678j396,2018/11/14,29,1.88302484,1,0.295680057
OL10F1i678j396,2018/11/14,30,2.129259966,1,0.647939404
OL10F1i678j396,2018/11/14,31,2.257798729,1,1.057014776
OL10F1i678j396,2018/11/14,32,2.10049467,1,0.863840295
OL10F1i678j396,2018/11/14,33,2.644855745,1,1.000198752
