date,time,grid_id,region,gmv,cnt_call,is_exp,const,cnt_call_1
2020/2/19,0,OL10F1i392j591,1,4.87888839648468,3.571859213787884,-1,1,-28.968328291791465
2020/2/19,1,OL10F1i392j591,1,6.437539829926438,0.4534265676331868,-1,1,-25.26728964218698
2020/2/19,2,OL10F1i392j591,1,4.897548416305144,3.571859213787884,-1,1,-28.97344260660376
2020/2/19,3,OL10F1i392j591,1,1.1418084349839426,0.4534265676331868,-1,1,-27.606114126803007
2020/2/19,4,OL10F1i392j591,1,1.9694204917578435,1.2330347291718613,-1,1,-29.757720409788092
2020/2/19,5,OL10F1i392j591,1,0.6266227106406078,-0.3261815939054875,-1,1,-29.165330449880358
2020/2/19,6,OL10F1i392j591,1,0.6266227106406077,-0.3261815939054875,-1,1,-26.82650596526433
2020/2/19,7,OL10F1i392j591,1,0.6266227106406079,2.012642890710536,-1,1,-28.385722288341675
2020/2/19,8,OL10F1i392j591,1,2.222999883196694,0.4534265676331868,-1,1,-29.765670631242866
2020/2/19,9,OL10F1i392j591,1,0.6266227106406078,-0.3261815939054875,-1,1,-28.38572228834168
2020/2/19,10,OL10F1i392j591,1,0.6194374417482444,0.4534265676331868,-1,1,-28.989319522903525
2020/2/19,11,OL10F1i392j591,1,0.874405971573015,0.4534265676331868,-1,1,-29.165330449880358
2020/2/19,12,OL10F1i392j591,1,0.6266227106406078,-0.3261815939054875,-1,1,-19.030424349877585
2020/2/19,13,OL10F1i392j591,1,2.3781815096950663,9.80872450609728,-1,1,-29.165330449880358
2020/2/19,14,OL10F1i392j591,1,0.6266227106406078,-0.3261815939054875,-1,1,-19.030424349877585
2020/2/19,15,OL10F1i392j591,1,4.191686123982624,9.80872450609728,-1,1,-23.708073319109637
2020/2/19,16,OL10F1i392j591,1,4.965793795409175,5.131075536865233,-1,1,-21.200033328440114
2020/2/19,17,OL10F1i392j591,1,5.504537756503527,8.24950818301993,-1,1,-26.82650596526433
2020/2/19,18,OL10F1i392j591,1,3.1329376353755682,2.012642890710536,-1,1,-26.658546293820326
2020/2/19,19,OL10F1i392j591,1,2.0535563723884565,2.79225105224921,-1,1,-19.81003251141626
2020/2/19,20,OL10F1i392j591,1,6.650014341952049,9.029116344558606,-1,1,-29.777726559915415
2020/2/19,21,OL10F1i392j591,1,0.6266227106406076,-0.3261815939054875,-1,1,-22.148856996032283
2020/2/19,22,OL10F1i392j591,1,8.61396341971092,6.690291859942581,-1,1,-25.1003180090008
2020/2/19,23,OL10F1i392j591,1,8.19218683677844,4.351467375326558,-1,1,-25.26728964218698
2020/2/19,24,OL10F1i392j591,1,8.231106653264844,3.571859213787884,-1,1,-23.540838017533517
2020/2/19,25,OL10F1i392j591,1,6.3959398543006865,5.910683698403907,-1,1,-19.03042434987759
2020/2/19,26,OL10F1i392j591,1,10.22221401536539,9.80872450609728,-1,1,-19.642034640404717
2020/2/19,27,OL10F1i392j591,1,8.947344472919218,9.80872450609728,-1,1,-19.03042434987759
2020/2/19,28,OL10F1i392j591,1,10.803675268029384,9.80872450609728,-1,1,-25.098037502065328
2020/2/19,29,OL10F1i392j591,1,7.41777331672356,4.351467375326558,-1,1,-22.928465157570955
2020/2/19,30,OL10F1i392j591,1,11.815505736939372,5.910683698403907,-1,1,-21.97786802620724
2020/2/19,31,OL10F1i392j591,1,11.178847095568557,7.469900021481258,-1,1,-21.369248834493604
2020/2/19,32,OL10F1i392j591,1,8.562708981186415,7.469900021481258,-1,1,-17.298010643961277
2020/2/19,33,OL10F1i392j591,1,21.153939940920075,12.147548990713304,-1,1,-21.369248834493607
2020/2/19,34,OL10F1i392j591,1,8.950539038529227,7.469900021481258,-1,1,-18.854559667082576
2020/2/19,35,OL10F1i392j591,1,11.507287077801546,10.588332667635957,-1,1,-19.81003251141626
2020/2/19,36,OL10F1i392j591,1,11.055028951363497,9.029116344558606,-1,1,-20.410664082292207
2020/2/19,37,OL10F1i392j591,1,9.14571640909091,9.029116344558606,-1,1,-22.928465157570958
2020/2/19,38,OL10F1i392j591,1,8.929003189672276,5.910683698403907,-1,1,-24.305164084788633
2020/2/19,39,OL10F1i392j591,1,7.158727180294224,5.131075536865233,-1,1,-24.487681480648305
2020/2/19,40,OL10F1i392j591,1,4.926025121926916,4.351467375326558,-1,1,-19.623562392231307
2020/2/19,41,OL10F1i392j591,1,11.157047981703538,9.80872450609728,-1,1,-26.046897803725653
2020/2/19,42,OL10F1i392j591,1,2.339381347905364,2.79225105224921,-1,1,-22.737648473012264
2020/2/19,43,OL10F1i392j591,1,7.254461622018109,6.690291859942581,-1,1,-25.26728964218698
2020/2/19,44,OL10F1i392j591,1,3.8601578174320186,3.571859213787884,-1,1,-28.190184191858403
2020/2/19,45,OL10F1i392j591,1,1.6975041792597758,1.2330347291718613,-1,1,-21.369248834493604
2020/2/19,46,OL10F1i392j591,1,4.946857792546742,7.469900021481258,-1,1,-28.18510766817923
2020/2/19,47,OL10F1i392j591,1,3.2537792499400853,1.2330347291718613,-1,1,-28.839148855974862
2020/2/20,0,OL10F1i392j591,1,2.716976071013936,0.4534265676331868,-1,1,-25.267289642186984
2020/2/20,1,OL10F1i392j591,1,8.531543257159363,3.571859213787884,-1,1,-28.970940092785003
2020/2/20,2,OL10F1i392j591,1,2.552392761333026,0.4534265676331868,-1,1,-29.16533044988035
2020/2/20,3,OL10F1i392j591,1,0.6266227106406078,-0.3261815939054875,-1,1,-29.165330449880354
2020/2/20,4,OL10F1i392j591,1,0.6266227106406077,-0.3261815939054875,-1,1,-28.385722288341682
