cnt_answer,gmv,sum_online_time,cnt_call,sum_online_time_lag,cnt_call_lag,cnt_finish,date,time
0.260947515,0.345755915,0.484457933,0.217712828,0.447142708,0.161577903,0.183377298,2,12
0.426817132,0.466239771,0.643643735,0.33585537,0.484457933,0.217712828,0.334926452,2,13
0.764900278,0.74291541,1.054515394,0.538423761,0.643643735,0.33585537,0.724169821,2,14
1.220028083,1.117721723,1.700539641,0.828006196,1.054515394,0.538423761,1.369354055,2,15
1.636843612,1.310603858,2.32823305,1.178512764,1.700539641,0.828006196,2.092741159,2,16
1.969385072,1.733685785,2.755948673,1.548553382,2.32823305,1.178512764,2.659776314,2,17
2.206282673,1.974549148,2.84682747,1.862353099,2.755948673,1.548553382,2.988783312,2,18
2.28472225,2.137010025,2.592977615,2.065243322,2.84682747,1.862353099,2.992782038,2,19
2.153350523,2.191140063,2.213611978,2.132274159,2.592977615,2.065243322,2.634051684,2,20
1.892010396,2.154771103,1.899931474,2.086057691,2.213611978,2.132274159,2.102948536,2,21
1.681118792,1.845863864,1.651254163,1.979704738,1.899931474,2.086057691,1.715932529,2,22
1.634457232,1.919835052,1.482217061,1.886444742,1.651254163,1.979704738,1.642022196,2,23
1.692359465,1.973317408,1.434803212,1.819826365,1.482217061,1.886444742,1.718206949,2,24
1.838631383,1.750799824,1.52393488,1.780333955,1.434803212,1.819826365,1.893783743,2,25
1.991847552,1.595020664,1.608580429,1.791341449,1.52393488,1.780333955,2.059905672,2,26
2.072434461,1.832186373,1.655242922,1.866253243,1.608580429,1.791341449,2.127738752,2,27
2.090669096,1.909561198,1.717269998,1.969934994,1.655242922,1.866253243,2.145006627,2,28
2.07271881,1.978301149,1.861965351,2.078985657,1.717269998,1.969934994,2.146719399,2,29
2.029092159,1.95884392,2.009752995,2.172171997,1.861965351,2.078985657,2.097437509,2,30
2.044393849,1.986595582,2.067248228,2.244058533,2.009752995,2.172171997,2.097431833,2,31
2.209028695,2.075323938,2.058671705,2.289181109,2.067248228,2.244058533,2.303771734,2,32
2.394618743,2.225995207,2.091076461,2.300763694,2.058671705,2.289181109,2.531706022,2,33
2.467226039,2.205684908,2.158518268,2.269747669,2.091076461,2.300763694,2.582551653,2,34
2.463137202,2.15678378,2.258337197,2.207353678,2.158518268,2.269747669,2.521117441,2,35
2.475632944,2.065796461,2.390449482,2.124581382,2.258337197,2.207353678,2.524208844,2,36
2.455106338,1.83916446,2.435416172,2.030568865,2.390449482,2.124581382,2.522142669,2,37
2.30905118,1.731460011,2.368982515,1.944723297,2.435416172,2.030568865,2.334669013,2,38
2.202977505,1.680169428,2.268141869,1.874146665,2.368982515,1.944723297,2.215690002,2,39
2.215076997,1.669610738,2.191981427,1.824927746,2.268141869,1.874146665,2.277326429,2,40
2.331499125,1.66046919,2.17412962,1.802737344,2.191981427,1.824927746,2.470987511,2,41
2.411814731,1.687438493,2.24010595,1.809907485,2.17412962,1.802737344,2.548390362,2,42
2.421296507,2.048863553,2.319898852,1.83526856,2.24010595,1.809907485,2.525016512,2,43
2.272067383,2.405743141,2.251810075,1.824996378,2.319898852,1.83526856,2.338578935,2,44
