cnt_answer,gmv,sum_online_time,cnt_call,sum_online_time_lag,cnt_call_lag,cnt_finish,date,time
0.578837217,0.605940428,0.881502155,0.500490733,1.136893472,0.765380605,0.430888589,1,1
0.491125859,0.535737292,0.790300577,0.422216294,0.881502155,0.500490733,0.402788507,1,2
0.40041256,0.451633363,0.683993694,0.340659356,0.790300577,0.422216294,0.386554491,1,3
0.337429596,0.35804359,0.581026455,0.268743819,0.683993694,0.340659356,0.356601661,1,4
0.298640313,0.311899887,0.506388847,0.221335291,0.581026455,0.268743819,0.302789978,1,5
0.274690832,0.27758902,0.449362045,0.194263334,0.506388847,0.221335291,0.250769953,1,6
0.260860472,0.263196695,0.405033424,0.172595005,0.449362045,0.194263334,0.212667585,1,7
0.255529821,0.261377035,0.371533044,0.157586644,0.405033424,0.172595005,0.194046019,1,8
0.236351164,0.248966349,0.355047821,0.153466961,0.371533044,0.157586644,0.175264552,1,9
0.203697955,0.273660746,0.356073179,0.157811269,0.355047821,0.153466961,0.155346835,1,10
0.171295615,0.271866516,0.382741663,0.181491079,0.356073179,0.157811269,0.146222411,1,11
0.198365898,0.277773267,0.489685475,0.242025864,0.382741663,0.181491079,0.17030498,1,12
0.372789218,0.39793199,0.752259928,0.307067899,0.489685475,0.242025864,0.309342976,1,13
0.810824581,0.836474299,1.274091256,0.459501879,0.752259928,0.307067899,0.645212954,1,14
1.518945213,1.619329188,2.034177699,0.952129152,1.274091256,0.459501879,1.216673466,1,15
2.268736389,2.350660291,2.81534953,1.512690224,2.034177699,0.952129152,1.894158365,1,16
2.755397222,2.64595408,3.415131209,2.21503994,2.81534953,1.512690224,2.365006019,1,17
2.972003391,2.743524413,3.59040413,2.535806178,3.415131209,2.21503994,2.429047993,1,18
2.939897535,2.730114141,3.202306214,2.674509694,3.59040413,2.535806178,2.394035994,1,19
2.656772239,2.38445677,2.537552228,2.579278445,3.202306214,2.674509694,2.3374265,1,20
2.339402899,2.019170502,1.900988603,2.296059031,2.537552228,2.579278445,2.145168169,1,21
2.184837579,1.846592311,1.468698746,2.05675572,1.900988603,2.296059031,2.004311744,1,22
2.099448079,1.872339106,1.299780436,2.070220602,1.468698746,2.05675572,2.045297312,1,23
2.073313271,1.887141899,1.347979781,2.242375629,1.299780436,2.070220602,2.042487444,1,24
2.061225654,2.070337465,1.476016438,2.363596201,1.347979781,2.242375629,2.084178182,1,25
2.022911572,2.283861747,1.621749757,2.395605776,1.476016438,2.363596201,2.168630017,1,26
2.066362652,2.597767446,1.746427117,2.417591526,1.621749757,2.395605776,2.386945842,1,27
2.148023761,2.622487014,1.832830339,2.455209287,1.746427117,2.417591526,2.593280537,1,28
2.16792593,2.357713515,1.876301606,2.486015979,1.832830339,2.455209287,2.52924444,1,29
2.16066636,2.194728851,1.927047949,2.493483236,1.876301606,2.486015979,2.310099503,1,30
2.26108364,2.427512142,2.06660722,2.525164951,1.927047949,2.493483236,2.205223909,1,31
2.452456441,2.641724576,2.308427753,2.608632177,2.06660722,2.525164951,2.231043671,1,32
2.628871272,2.810959714,2.650163532,2.695493248,2.308427753,2.608632177,2.287420486,1,33
2.725783794,2.923005453,2.913980268,2.793788416,2.650163532,2.695493248,2.498746114,1,34
2.752300229,2.928568064,2.881193753,2.885744676,2.913980268,2.793788416,2.80688743,1,35
2.819692593,3.039978764,2.557018182,2.92207297,2.881193753,2.885744676,2.958284754,1,36
2.748750249,2.921358586,2.240293295,2.853737696,2.557018182,2.92207297,2.979840056,1,37
2.549723044,2.447208549,2.215316349,2.625219429,2.240293295,2.853737696,2.787518604,1,38
2.446820138,2.101039105,2.20318075,2.392191146,2.215316349,2.625219429,2.384347059,1,39
2.499700494,2.198021252,2.207933092,2.163387569,2.20318075,2.392191146,2.126824039,1,40
2.695403238,2.376293014,2.34737868,2.263432177,2.207933092,2.163387569,2.209090007,1,41
2.8899088,2.572486198,2.483289617,2.364649686,2.34737868,2.263432177,2.42032203,1,42
2.84502433,2.759832779,2.513192471,2.346842104,2.483289617,2.364649686,2.494179294,1,43
2.549964978,2.322170044,2.403415125,2.248012408,2.513192471,2.346842104,2.316877769,1,44
2.074159916,1.822946153,2.18621273,2.039774356,2.403415125,2.248012408,1.904739896,1,45
1.568478809,1.315114884,1.907752673,1.446902273,2.18621273,2.039774356,1.407578235,1,46
1.089557574,1.101722674,1.607100775,1.052202445,1.907752673,1.446902273,1.036553921,1,47
0.625765551,0.920446132,1.255663764,0.656165332,1.607100775,1.052202445,0.797870486,1,48
0.506253073,0.673265318,0.870611568,0.473819006,1.255663764,0.656165332,0.430553041,2,1
0.466692116,0.54406212,0.781838775,0.401894069,0.870611568,0.473819006,0.403130592,2,2
0.435507838,0.476512194,0.667165934,0.336157822,0.781838775,0.401894069,0.387169157,2,3
0.395057831,0.414571988,0.577766948,0.280294697,0.667165934,0.336157822,0.356893466,2,4
0.339166459,0.359803025,0.506219887,0.234773825,0.577766948,0.280294697,0.302513208,2,5
0.287400242,0.288720111,0.432086197,0.199821225,0.506219887,0.234773825,0.250203063,2,6
0.250332937,0.235673482,0.381806905,0.171065222,0.432086197,0.199821225,0.212305321,2,7
0.231090843,0.248661894,0.366741344,0.144122821,0.381806905,0.171065222,0.194452924,2,8
0.213227329,0.290526512,0.381299029,0.122091588,0.366741344,0.144122821,0.177134678,2,9
0.192566741,0.308310658,0.407921036,0.115724116,0.381299029,0.122091588,0.158741628,2,10
0.17869052,0.307848476,0.432217953,0.144401527,0.407921036,0.115724116,0.14822092,2,11
0.205423494,0.319450227,0.478122201,0.236208251,0.432217953,0.144401527,0.16353741,2,12
0.377689362,0.423693556,0.651132778,0.422015374,0.478122201,0.236208251,0.291793713,2,13
0.810901631,0.812995678,1.025925799,0.725994004,0.651132778,0.422015374,0.650139907,2,14
1.540455078,1.621417357,1.540817722,1.145337371,1.025925799,0.725994004,1.339126397,2,15
2.363179783,2.564513484,2.036190792,1.626705835,1.540817722,1.145337371,2.228760601,2,16
2.932393048,3.088387119,2.287143184,2.085528585,2.036190792,1.626705835,2.888643774,2,17
3.047831479,2.902322186,2.260702186,2.439905329,2.287143184,2.085528585,3.01110896,2,18
2.959355521,2.524690761,2.135279087,2.620297966,2.260702186,2.439905329,2.951250103,2,19
2.777240927,2.319451615,1.967524707,2.630488507,2.135279087,2.620297966,2.785156716,2,20
