cnt_answer,gmv,sum_online_time,cnt_call,sum_online_time_lag,cnt_call_lag,cnt_finish,date,time
0.454826179,0.742809113,0.854065856,0.475550291,1.157887903,0.769451987,0.430003179,1,1
0.421284288,0.609272862,0.716076703,0.412054715,0.854065856,0.475550291,0.400979851,1,2
0.388076008,0.429274532,0.586425697,0.344055332,0.716076703,0.412054715,0.381555117,1,3
0.351260703,0.351667811,0.504651765,0.279676702,0.586425697,0.344055332,0.353931203,1,4
0.313782444,0.308863042,0.467405818,0.226350703,0.504651765,0.279676702,0.31450549,1,5
0.280479819,0.271401718,0.44080061,0.186156073,0.467405818,0.226350703,0.261483833,1,6
0.258875542,0.250574202,0.428137105,0.155312555,0.44080061,0.186156073,0.215842886,1,7
0.236895157,0.280892342,0.408354479,0.131303003,0.428137105,0.155312555,0.200072214,1,8
0.216466907,0.27670884,0.379003098,0.115975858,0.408354479,0.131303003,0.198558245,1,9
0.202606334,0.278189446,0.35464781,0.116937524,0.379003098,0.115975858,0.183744457,1,10
0.203430655,0.269337562,0.365578648,0.150696945,0.35464781,0.116937524,0.159814584,1,11
0.251215872,0.307290134,0.461126779,0.2440385,0.365578648,0.150696945,0.171076142,1,12
0.423953487,0.38860761,0.72667575,0.428474155,0.461126779,0.2440385,0.302843701,1,13
0.774047974,0.784203977,1.248406289,0.727927492,0.72667575,0.428474155,0.676785343,1,14
1.229395901,1.612269701,1.98541474,1.139735285,1.248406289,0.727927492,1.376051776,1,15
1.588562157,2.552145122,2.77873478,1.619611748,1.98541474,1.139735285,2.253233429,1,16
1.831911621,2.737865173,3.310160496,2.083324354,2.77873478,1.619611748,2.922437252,1,17
1.969943184,2.747634021,3.337165476,2.428920254,3.310160496,2.083324354,3.073510867,1,18
2.106515722,2.744539304,2.852512462,2.61378798,3.337165476,2.428920254,2.884376889,1,19
2.156045495,2.388976208,2.232313843,2.652314228,2.852512462,2.61378798,2.606707794,1,20
2.148652193,2.027141309,1.758962461,2.600888689,2.232313843,2.652314228,2.36911757,1,21
2.086469096,2.024292174,1.517724111,2.509562186,1.758962461,2.600888689,2.191590966,1,22
2.087558694,1.949068682,1.469328493,2.40810148,1.517724111,2.509562186,2.215915516,1,23
2.193357114,2.052743932,1.533460427,2.331728771,1.469328493,2.40810148,2.309692756,1,24
2.335568327,2.187634523,1.610587551,2.308556151,1.533460427,2.331728771,2.347215801,1,25
2.461951059,2.042046537,1.668249051,2.343605311,1.610587551,2.308556151,2.375082792,1,26
2.41262938,2.147648213,1.706762017,2.417841533,1.668249051,2.343605311,2.440109196,1,27
2.29617651,2.333454255,1.741059038,2.512648961,1.706762017,2.417841533,2.409185165,1,28
2.220494577,2.253251495,1.780868681,2.613048805,1.741059038,2.512648961,2.336098203,1,29
2.162344717,2.020385182,1.810438717,2.708674446,1.780868681,2.613048805,2.378216056,1,30
2.150201486,2.112553821,1.881271999,2.785801796,1.810438717,2.708674446,2.407382726,1,31
2.264903863,2.435838505,2.031597277,2.82377144,1.881271999,2.785801796,2.407539686,1,32
2.451690363,2.744972765,2.23419971,2.814341538,2.031597277,2.82377144,2.364617697,1,33
2.589923031,2.895671444,2.43957944,2.800392388,2.23419971,2.814341538,2.461627727,1,34
2.667467183,2.75193682,2.755790153,2.801334473,2.43957944,2.800392388,2.702108067,1,35
2.685899844,2.96680969,3.061480324,2.793561077,2.755790153,2.801334473,2.800705968,1,36
2.651716549,2.766749305,3.119584268,2.749157973,3.061480324,2.793561077,2.778134393,1,37
2.504587321,2.300785012,2.903022081,2.655685779,3.119584268,2.749157973,2.626741559,1,38
2.329232604,2.229932388,2.510006902,2.536160894,2.903022081,2.655685779,2.379587435,1,39
2.176706133,2.281302608,2.259210807,2.418965024,2.510006902,2.536160894,2.361465476,1,40
2.106705277,2.524826079,2.257892452,2.337029367,2.259210807,2.418965024,2.613125536,1,41
2.164851846,2.912868401,2.470114174,2.274467876,2.257892452,2.337029367,2.784897906,1,42
2.313302562,2.809139928,2.637738908,2.194978436,2.470114174,2.274467876,2.686486583,1,43
2.337847555,2.468830195,2.55564422,2.05170304,2.637738908,2.194978436,2.23292133,1,44
2.082359868,1.952007255,2.281115784,1.83677757,2.55564422,2.05170304,1.731078765,1,45
1.581781146,1.593524789,1.84038492,1.544803317,2.281115784,1.83677757,1.300864922,1,46
1.041871492,1.242201411,1.412557201,1.197781866,1.84038492,1.544803317,0.975312894,1,47
0.552346726,0.735029316,1.126520818,0.833909083,1.412557201,1.197781866,0.690463989,1,48
0.594825951,0.69455239,0.968073732,0.508626886,1.126520818,0.833909083,0.391931708,2,1
0.463960468,0.566976222,0.815246494,0.44066706,0.968073732,0.508626886,0.370171513,2,2
0.374181031,0.499970163,0.678987167,0.376503184,0.815246494,0.44066706,0.347840264,2,3
0.318473689,0.408687937,0.557026015,0.316879439,0.678987167,0.376503184,0.317544384,2,4
0.281382072,0.343701786,0.474772647,0.263197293,0.557026015,0.316879439,0.281762951,2,5
0.260693538,0.295561487,0.412287854,0.216047542,0.474772647,0.263197293,0.246402683,2,6
0.251156768,0.2767,0.380424119,0.177740138,0.412287854,0.216047542,0.224637991,2,7
0.241147069,0.258595631,0.387219805,0.151360128,0.380424119,0.177740138,0.20036656,2,8
0.232254597,0.254316646,0.412637821,0.138278347,0.387219805,0.151360128,0.175344339,2,9
0.223526047,0.273727913,0.438282427,0.14316307,0.412637821,0.138278347,0.154257121,2,10
0.221812586,0.281214546,0.479757889,0.181029972,0.438282427,0.14316307,0.144149627,2,11
0.282200718,0.305610753,0.594845826,0.277503388,0.479757889,0.181029972,0.176596728,2,12
0.493620619,0.355938254,0.904134387,0.46288217,0.594845826,0.277503388,0.341649787,2,13
0.959767528,0.696568991,1.459393014,0.760394647,0.904134387,0.46288217,0.721785953,2,14
1.659870524,1.522741096,2.125179009,1.166459156,1.459393014,0.760394647,1.271462052,2,15
2.314336463,2.5082039,2.777074281,1.631284961,2.125179009,1.166459156,1.755361565,2,16
2.733088242,3.117582237,3.303722489,2.067519015,2.777074281,1.631284961,2.057604172,2,17
2.912609724,2.946764922,3.355104347,2.387891835,3.303722489,2.067519015,2.145018396,2,18
2.888815016,2.58045471,2.937359716,2.567923013,3.355104347,2.387891835,2.223754364,2,19
2.742889832,2.395017666,2.351393692,2.627016294,2.937359716,2.567923013,2.195410254,2,20
2.548850543,2.271158416,1.798547688,2.60736775,2.351393692,2.627016294,2.162275092,2,21
2.403645015,2.244359543,1.515259684,2.554958842,1.798547688,2.60736775,2.070333759,2,22
2.311596772,2.088436811,1.490762967,2.524919344,1.515259684,2.554958842,2.05800714,2,23
2.266302758,2.054907943,1.593116613,2.525420892,1.490762967,2.524919344,2.179645167,2,24
