gmv,const,cnt_call,sum_online_time,cnt_call_lag,sum_online_time_lag,is_exp,cnt_answer,cnt_finish,date,time
0.671260335,1,0.548023638,1.107801975,0,0,-1,0.609735951,0.41752471,1,1
0.564670384,1,0.458446046,0.922813606,0.548023638,1.107801975,-1,0.51283343,0.408149209,1,2
0.561628923,1,0.403058776,0.875053168,0.458446046,0.922813606,1,0.446346063,0.402697431,1,3
0.466828394,1,0.341672479,0.75324598,0.403058776,0.875053168,1,0.365822762,0.353236668,1,4
0.368138189,1,0.275229598,0.599597017,0.341672479,0.75324598,-1,0.290896504,0.293797822,1,5
0.296698783,1,0.231777048,0.50049262,0.275229598,0.599597017,-1,0.2751193,0.257420826,1,6
0.29318562,1,0.206360223,0.459249589,0.231777048,0.50049262,1,0.28334709,0.243657101,1,7
0.308141975,1,0.176313376,0.432650161,0.206360223,0.459249589,1,0.273410173,0.2087228,1,8
0.272120724,1,0.14878426,0.397561797,0.176313376,0.432650161,-1,0.239826836,0.168484495,1,9
0.282344483,1,0.14612007,0.386287176,0.14878426,0.397561797,-1,0.211672203,0.151822191,1,10
0.312056185,1,0.182226128,0.407675349,0.14612007,0.386287176,1,0.199575053,0.155607972,1,11
0.323392474,1,0.265194443,0.463588877,0.182226128,0.407675349,1,0.223473843,0.179534378,1,12
0.399388342,1,0.406859736,0.660441738,0.265194443,0.463588877,-1,0.369276658,0.27936928,1,13
0.738958458,1,0.658097339,1.142151343,0.406859736,0.660441738,-1,0.745376983,0.628429933,1,14
1.53333846,1,1.062889028,1.944000457,0.658097339,1.142151343,1,1.477681078,1.417317356,1,15
2.451727465,1,1.482752566,2.771407817,1.062889028,1.944000457,1,2.141377793,2.28649039,1,16
2.457559479,1,1.804469144,3.223524663,1.482752566,2.771407817,-1,2.424677961,2.76054386,1,17
2.435891127,1,2.107323823,3.260015815,1.804469144,3.223524663,-1,2.706939212,3.157227084,1,18
2.667949262,1,2.396945619,2.974191541,2.107323823,3.260015815,1,2.978573269,3.360877671,1,19
2.639479648,1,2.433203908,2.376029933,2.396945619,2.974191541,1,2.748061555,2.938742489,1,20
2.092502704,1,2.251788051,1.821165145,2.433203908,2.376029933,-1,2.272101803,2.145303089,1,21
1.880200469,1,2.159079912,1.567297936,2.251788051,1.821165145,-1,2.06358798,1.818289823,1,22
2.1615719,1,2.206178926,1.568305025,2.159079912,1.567297936,1,2.200114095,1.950953237,1,23
2.190774183,1,2.216032415,1.592066153,2.206178926,1.568305025,1,2.121697265,2.114623834,1,24
2.068023129,1,2.177830948,1.548001425,2.216032415,1.592066153,-1,1.878752683,2.046523226,1,25
2.286467719,1,2.268831401,1.622817176,2.177830948,1.548001425,-1,2.016880675,2.206483217,1,26
2.739608118,1,2.466732586,1.825057236,2.268831401,1.622817176,1,2.445832659,2.56638107,1,27
2.875249678,1,2.521469991,1.953900179,2.466732586,1.825057236,1,2.683587763,2.566172631,1,28
2.4060856,1,2.413623856,1.949377346,2.521469991,1.953900179,-1,2.525257816,2.208121831,1,29
2.285565898,1,2.391415496,1.989979506,2.413623856,1.949377346,-1,2.530138685,2.141534224,1,30
2.48297185,1,2.490733441,2.143341398,2.391415496,1.989979506,1,2.732697028,2.406849241,1,31
2.516926115,1,2.508806969,2.233891336,2.490733441,2.143341398,1,2.684033811,2.582167669,1,32
2.219710335,1,2.453049898,2.283761374,2.508806969,2.233891336,-1,2.398838855,2.59100036,1,33
2.345105236,1,2.551777581,2.49188315,2.453049898,2.283761374,-1,2.433553259,2.767808043,1,34
3.073090273,1,2.782155658,2.840608161,2.551777581,2.49188315,1,2.996715516,3.061080927,1,35
3.270690325,1,2.815291118,2.94269355,2.782155658,2.840608161,1,3.197120385,2.72751429,1,36
2.718507728,1,2.613413398,2.716600967,2.815291118,2.94269355,-1,2.872295325,2.205736547,1,37
2.236528976,1,2.479868252,2.49365555,2.613413398,2.716600967,-1,2.682728524,2.245813699,1,38
2.376668687,1,2.473382087,2.344826149,2.479868252,2.49365555,1,2.657208981,2.449469596,1,39
2.397541031,1,2.390462665,2.227931619,2.473382087,2.344826149,1,2.434610908,2.398128783,1,40
2.39279141,1,2.263530385,2.209250228,2.390462665,2.227931619,-1,2.205953895,2.350057367,1,41
2.705430343,1,2.260210819,2.410737044,2.263530385,2.209250228,-1,2.485396967,2.571133115,1,42
3.080528562,1,2.316719542,2.715473206,2.260210819,2.410737044,1,3.023445521,2.779329888,1,43
2.432985923,1,2.179456256,2.683694057,2.316719542,2.715473206,1,2.811699515,2.476025918,1,44
1.691287634,1,1.850672929,2.279165312,2.179456256,2.683694057,-1,1.965953111,1.844876021,1,45
1.33869927,1,1.528447307,1.867557057,1.850672929,2.279165312,-1,1.395434302,1.439641617,1,46
1.243689219,1,1.229900295,1.513533399,1.528447307,1.867557057,1,1.071228664,1.18544541,1,47
0.879772573,1,0.847785774,1.132138235,1.229900295,1.513533399,1,0.726945514,0.795416025,1,48
