gmv,const,cnt_call,sum_online_time,cnt_call_lag,sum_online_time_lag,is_exp,cnt_answer,cnt_finish,date,time
0.683917688,1,0.544966384,1.001359597,0,0,-1,0.544206501,0.450059625,1,1
0.574714488,1,0.47296983,0.908281724,0.544966384,1.001359597,-1,0.494200874,0.429365469,1,2
0.526075002,1,0.411369307,0.780411869,0.47296983,0.908281724,1,0.474170042,0.418533394,1,3
0.430149114,1,0.329967951,0.63174947,0.411369307,0.780411869,1,0.415356232,0.36771025,1,4
0.324132846,1,0.24727639,0.48201739,0.329967951,0.63174947,-1,0.332188834,0.287394405,1,5
0.278626213,1,0.194751158,0.400084571,0.24727639,0.48201739,-1,0.285475137,0.244014493,1,6
0.283367554,1,0.165185132,0.400550138,0.194751158,0.400084571,1,0.271800092,0.241062468,1,7
0.281056181,1,0.137369617,0.401094645,0.165185132,0.400550138,1,0.242488909,0.221851782,1,8
0.251022073,1,0.115507514,0.362271383,0.137369617,0.401094645,-1,0.204307913,0.179641353,1,9
0.259469812,1,0.123280196,0.349234845,0.115507514,0.362271383,-1,0.178557481,0.156239764,1,10
0.340054024,1,0.181501585,0.410506367,0.123280196,0.349234845,1,0.175686443,0.157208943,1,11
0.382558755,1,0.300461974,0.554192057,0.181501585,0.410506367,1,0.227610994,0.179450494,1,12
0.386029318,1,0.492626551,0.882070511,0.300461974,0.554192057,-1,0.40348718,0.303151149,1,13
0.908637055,1,0.80997862,1.544957251,0.492626551,0.882070511,-1,0.878445332,0.687476808,1,14
2.294006716,1,1.279584426,2.547335113,0.80997862,1.544957251,1,1.811929458,1.523280156,1,15
3.422487874,1,1.738415541,3.264787015,1.279584426,2.547335113,1,2.706127804,2.373831637,1,16
3.292873134,1,2.045577728,3.380859619,1.738415541,3.264787015,-1,2.948948145,2.708358565,1,17
3.132981142,1,2.336635503,3.168702818,2.045577728,3.380859619,-1,3.042697968,2.882356374,1,18
3.273797024,1,2.640999674,2.789041522,2.336635503,3.168702818,1,3.103650662,3.00496961,1,19
2.872559791,1,2.755859126,2.379870966,2.640999674,2.789041522,1,2.81464636,2.77759709,1,20
2.233185039,1,2.673508819,2.048096935,2.755859126,2.379870966,-1,2.296233556,2.338572013,1,21
2.245131496,1,2.652377652,1.827638205,2.673508819,2.048096935,-1,2.143173456,2.154141384,1,22
2.617591633,1,2.741636856,1.712529949,2.652377652,1.827638205,1,2.303860356,2.27719331,1,23
2.748434335,1,2.75305776,1.703032383,2.741636856,1.712529949,1,2.323423985,2.395488298,1,24
2.547662332,1,2.682056787,1.760654482,2.75305776,1.703032383,-1,2.20816532,2.356786319,1,25
2.639426766,1,2.731294362,1.863373998,2.682056787,1.760654482,-1,2.305125227,2.443299541,1,26
