cnt_answer,gmv,sum_online_time,cnt_call,sum_online_time_lag,cnt_call_lag,cnt_finish,date,time
0.224079412,0.337918298,0.639612478,0.213161336,0.522575711,0.145240295,0.152587109,2,12
0.394117539,0.435944464,0.880080983,0.35138296,0.639612478,0.213161336,0.296469511,2,13
0.814541284,0.761193384,1.313758179,0.578815389,0.880080983,0.35138296,0.640853267,2,14
1.480634805,1.258678765,1.875753274,0.894645176,1.313758179,0.578815389,1.193604872,2,15
2.19053819,1.56911062,2.325305089,1.2622594,1.875753274,0.894645176,1.846586879,2,16
2.827668132,2.113997177,2.540613345,1.618160032,2.325305089,1.2622594,2.386836711,2,17
3.118973206,2.301072831,2.533827037,1.89791564,2.540613345,1.618160032,2.546178528,2,18
3.077788711,2.326059548,2.349810023,2.051836539,2.533827037,1.89791564,2.413745815,2,19
2.836781225,2.26282677,2.112042105,2.06597236,2.349810023,2.051836539,2.213587515,2,20
2.577064612,2.174454149,1.901584232,1.989105664,2.112042105,2.06597236,2.157636514,2,21
2.406982971,1.885509389,1.728858352,1.868212695,1.901584232,1.989105664,2.202043128,2,22
2.415128765,2.057974446,1.622730714,1.760297768,1.728858352,1.868212695,2.170482263,2,23
2.389980016,2.213455531,1.595244478,1.693616635,1.622730714,1.760297768,2.084914557,2,24
2.22834048,1.998663043,1.691396165,1.693299302,1.595244478,1.693616635,2.060531009,2,25
2.103442051,1.810636998,1.801007916,1.749129051,1.691396165,1.693299302,2.135717354,2,26
2.176899178,2.065136032,1.884752899,1.823887348,1.801007916,1.749129051,2.224227146,2,27
2.321114617,2.154990499,1.900703745,1.902769237,1.884752899,1.823887348,2.287678277,2,28
2.479818806,2.232816691,1.857259522,1.960641906,1.900703745,1.902769237,2.331731207,2,29
2.583497591,2.197795821,1.828167823,2.000314737,1.857259522,1.960641906,2.403054622,2,30
2.648367277,2.216882602,1.838858531,2.053314098,1.828167823,2.000314737,2.512390619,2,31
2.686078422,2.318034551,1.939016366,2.120127575,1.838858531,2.053314098,2.567997672,2,32
