gmv,const,cnt_call,sum_online_time,cnt_call_lag,sum_online_time_lag,is_exp,cnt_answer,cnt_finish,date,time
0.634536362,1,0.440710392,0.852105838,0,0,-1,0.414580085,0.428970272,1,1
0.528306423,1,0.39323207,0.76279209,0.440710392,0.852105838,-1,0.433101235,0.407303895,1,2
0.444112744,1,0.358102926,0.695929233,0.39323207,0.76279209,1,0.455093084,0.434795733,1,3
0.371413552,1,0.302335578,0.60362454,0.358102926,0.695929233,1,0.412368924,0.409085979,1,4
0.319162718,1,0.240680562,0.496589822,0.302335578,0.60362454,-1,0.326447079,0.325583707,1,5
0.276775901,1,0.201917302,0.435743251,0.240680562,0.496589822,-1,0.289328646,0.274771904,1,6
0.304260013,1,0.178386723,0.424778852,0.201917302,0.435743251,1,0.291635154,0.256624502,1,7
0.2971649,1,0.152768642,0.415102265,0.178386723,0.424778852,1,0.270784489,0.230124747,1,8
0.246353873,1,0.132423388,0.396387324,0.152768642,0.415102265,-1,0.228586455,0.192011364,1,9
0.239688067,1,0.137769163,0.404622638,0.132423388,0.396387324,-1,0.206069159,0.172685761,1,10
0.287185115,1,0.183238354,0.452261108,0.137769163,0.404622638,1,0.21255156,0.163468378,1,11
0.314064136,1,0.275988059,0.54340452,0.183238354,0.452261108,1,0.263575186,0.176308762,1,12
0.373302067,1,0.427330977,0.766725244,0.275988059,0.54340452,-1,0.452081025,0.293840317,1,13
0.737478013,1,0.691355532,1.284405293,0.427330977,0.766725244,-1,0.94366593,0.647130191,1,14
1.654341728,1,1.110409312,2.133583504,0.691355532,1.284405293,1,1.844130167,1.41334581,1,15
2.689978819,1,1.555806271,2.901268319,1.110409312,2.133583504,1,2.624893894,2.297812355,1,16
2.772979984,1,1.901248776,3.250990124,1.555806271,2.901268319,-1,2.73709514,2.673351403,1,17
2.820074147,1,2.236420571,3.306483383,1.901248776,3.250990124,-1,2.719120381,2.925637148,1,18
2.719888412,1,2.555687659,3.106630756,2.236420571,3.306483383,1,2.811555979,3.18714236,1,19
2.304188119,1,2.605935143,2.564899906,2.555687659,3.106630756,1,2.692352452,3.00911231,1,20
1.879229351,1,2.428333051,1.982199116,2.605935143,2.564899906,-1,2.373039881,2.357535882,1,21
1.861962411,1,2.339440964,1.661894321,2.428333051,1.982199116,-1,2.406083236,2.042742597,1,22
2.201665419,1,2.383753198,1.580629157,2.339440964,1.661894321,1,2.752176101,2.156364499,1,23
2.440600906,1,2.362827001,1.555109434,2.383753198,1.580629157,1,2.661749726,2.161086203,1,24
2.23879263,1,2.260497817,1.554128928,2.362827001,1.555109434,-1,2.225306728,2.029713397,1,25
2.291602463,1,2.284991119,1.641527278,2.260497817,1.554128928,-1,2.005130666,2.162282148,1,26
2.600750154,1,2.434753671,1.805726515,2.284991119,1.641527278,1,2.058951285,2.534793419,1,27
2.552405316,1,2.478902241,1.887763998,2.434753671,1.805726515,1,2.065871249,2.604508306,1,28
2.218044408,1,2.407300063,1.904746081,2.478902241,1.887763998,-1,1.986012831,2.283159121,1,29
2.040581981,1,2.459881861,2.029967213,2.407300063,1.904746081,-1,2.212052038,2.247246292,1,30
2.245808429,1,2.64920978,2.256648679,2.459881861,2.029967213,1,2.628708677,2.427427821,1,31
2.477659618,1,2.724876489,2.365929916,2.64920978,2.256648679,1,2.768478722,2.419570486,1,32
2.491918828,1,2.65938908,2.379053736,2.724876489,2.365929916,-1,2.486081832,2.19900048,1,33
2.46642656,1,2.699944311,2.528525545,2.65938908,2.379053736,-1,2.482891075,2.347618326,1,34
3.105216771,1,2.840606085,2.829718005,2.699944311,2.528525545,1,2.994402973,3.014320816,1,35
3.303652142,1,2.800763143,2.968217518,2.840606085,2.829718005,1,3.143866245,3.234588102,1,36
2.803432017,1,2.589735972,2.814118657,2.800763143,2.968217518,-1,2.837179235,2.881155304,1,37
2.608425644,1,2.488289588,2.647169776,2.589735972,2.814118657,-1,2.752646769,2.607628139,1,38
2.412722802,1,2.514638131,2.587193533,2.488289588,2.647169776,1,2.869945013,2.696968537,1,39
2.156812475,1,2.445713912,2.504902664,2.514638131,2.587193533,1,2.698048563,2.753071116,1,40
1.945475378,1,2.315068251,2.420154065,2.445713912,2.504902664,-1,2.386935962,2.7440541,1,41
2.355546327,1,2.311592061,2.517642663,2.315068251,2.420154065,-1,2.537715528,2.930848007,1,42
2.908707026,1,2.375946418,2.726517416,2.311592061,2.517642663,1,3.014675523,3.056972133,1,43
2.520970471,1,2.236539057,2.623998959,2.375946418,2.726517416,1,2.911009148,2.495165674,1,44
1.93838783,1,1.894016335,2.213044876,2.236539057,2.623998959,-1,2.225996569,1.701043271,1,45
1.447801092,1,1.573815241,1.855541316,1.894016335,2.213044876,-1,1.61876385,1.236144057,1,46
1.11624584,1,1.270366022,1.594103586,1.573815241,1.855541316,1,1.107985103,1.01896558,1,47
0.949188793,1,0.870284452,1.27433203,1.270366022,1.594103586,1,0.51551553,0.776476955,1,48
0.699282314,1,0.53848323,0.963666506,0.870284452,1.27433203,1,0.596860335,0.497663569,2,1
0.640188969,1,0.459666341,0.839533799,0.53848323,0.963666506,1,0.519407136,0.452553092,2,2
0.49883242,1,0.364023714,0.718566169,0.459666341,0.839533799,-1,0.429687159,0.378916938,2,3
0.388939705,1,0.298275613,0.644880955,0.364023714,0.718566169,-1,0.397721478,0.35256406,2,4
0.357510332,1,0.255460419,0.590923052,0.298275613,0.644880955,1,0.393339822,0.348932,2,5
0.295991801,1,0.206337382,0.492368101,0.255460419,0.590923052,1,0.34136112,0.295040482,2,6
0.262180076,1,0.156776001,0.40456799,0.206337382,0.492368101,-1,0.270971068,0.234265735,2,7
0.26420841,1,0.12476819,0.415975431,0.156776001,0.40456799,-1,0.240797371,0.207428745,2,8
0.317955013,1,0.109741117,0.493328232,0.12476819,0.415975431,1,0.231150651,0.198485315,2,9
0.321742005,1,0.106867763,0.520539378,0.109741117,0.493328232,1,0.221397521,0.175878216,2,10
0.267615624,1,0.121711763,0.487763691,0.106867763,0.520539378,-1,0.211163659,0.150572683,2,11
0.282153316,1,0.177232945,0.513838261,0.121711763,0.487763691,-1,0.24472798,0.187288579,2,12
0.454476996,1,0.30408824,0.715011078,0.177232945,0.513838261,1,0.434204377,0.366430839,2,13
0.68630519,1,0.504922898,1.121656631,0.30408824,0.715011078,1,0.830695735,0.750921338,2,14
0.809357839,1,0.757635686,1.651534733,0.504922898,1.121656631,-1,1.301815292,1.219624061,2,15
0.98314147,1,1.099779881,2.26789288,0.757635686,1.651534733,-1,1.826077993,1.804762446,2,16
1.748442351,1,1.522421705,2.759381012,1.099779881,2.26789288,1,2.490015506,2.583423974,2,17
1.908710504,1,1.821643617,2.654011912,1.522421705,2.759381012,1,2.727057858,2.925081792,2,18
1.727332402,1,1.906145391,2.191096018,1.821643617,2.654011912,-1,2.452409118,2.639595018,2,19
1.85260782,1,1.935640094,1.925177172,1.906145391,2.191096018,-1,2.287666691,2.336530082,2,20
2.38568488,1,1.95497755,1.93312718,1.935640094,1.925177172,1,2.138610586,2.218158558,2,21
2.309052977,1,1.822999051,1.887745454,1.95497755,1.93312718,1,1.886701028,2.049074421,2,22
2.098959689,1,1.634065881,1.820238711,1.822999051,1.887745454,-1,1.787256166,1.916943157,2,23
2.182653441,1,1.601099116,1.848476684,1.634065881,1.820238711,-1,1.930338649,2.099087898,2,24
2.242371661,1,1.708277583,1.936576496,1.601099116,1.848476684,1,2.2096002,2.511265225,2,25
2.135756278,1,1.766260419,1.975022143,1.708277583,1.936576496,1,2.190707575,2.515172146,2,26
2.184401729,1,1.776276402,1.991724665,1.766260419,1.975022143,-1,2.079612458,2.268394634,2,27
2.2765238,1,1.88044396,2.059178386,1.776276402,1.991724665,-1,2.172157349,2.228597061,2,28
2.350873154,1,2.033244088,2.188414792,1.88044396,2.059178386,1,2.393946686,2.374123595,2,29
2.372275543,1,2.063122046,2.223479235,2.033244088,2.188414792,1,2.369716693,2.295140685,2,30
2.250340252,1,2.00720726,2.024900331,2.063122046,2.223479235,-1,2.111468017,2.093012934,2,31
2.135694589,1,2.033434388,1.8948247,2.00720726,2.024900331,-1,2.114494221,2.22440247,2,32
2.196308057,1,2.164387595,1.905407163,2.033434388,1.8948247,1,2.458666633,2.669225392,2,33
2.18973218,1,2.242714531,2.050002776,2.164387595,1.905407163,1,2.543247102,2.730063052,2,34
2.205516498,1,2.222183361,2.267517552,2.242714531,2.050002776,-1,2.37170037,2.496935028,2,35
2.332966908,1,2.246050259,2.443166493,2.222183361,2.267517552,-1,2.485994015,2.580220774,2,36
2.421768306,1,2.299918568,2.568381985,2.246050259,2.443166493,1,2.780917521,2.866074159,2,37
2.329946319,1,2.183937663,2.416985835,2.299918568,2.568381985,1,2.65770328,2.717023523,2,38
1.83380855,1,1.969661518,2.080356993,2.183937663,2.416985835,-1,2.271751111,2.301569878,2,39
1.740030296,1,1.882821186,2.043609476,1.969661518,2.080356993,-1,2.218222621,2.276315334,2,40
2.002195699,1,1.89835109,2.301766324,1.882821186,2.043609476,1,2.532274643,2.692123516,2,41
2.299573578,1,1.826449923,2.383555884,1.89835109,2.301766324,1,2.655729376,2.822577995,2,42
2.15900214,1,1.666370406,2.176837447,1.826449923,2.383555884,-1,2.486327802,2.639838074,2,43
2.119330585,1,1.557825195,1.893820134,1.666370406,2.176837447,-1,2.394038269,2.544586861,2,44
2.06757712,1,1.471350204,1.772829979,1.557825195,1.893820134,1,2.282346156,2.342106395,2,45
1.561738147,1,1.270414983,1.62172849,1.471350204,1.772829979,1,1.801140869,1.75199759,2,46
1.102174776,1,1.0161768,1.374965387,1.270414983,1.62172849,-1,1.151964505,1.073931764,2,47
0.854771655,1,0.828736693,1.143475313,1.0161768,1.374965387,-1,0.690751307,0.702412769,2,48
0.679778976,1,0.5624958,0.966197927,0.828736693,1.143475313,-1,0.501447996,0.420840687,3,1
0.549925906,1,0.477316814,0.804401599,0.5624958,0.966197927,-1,0.446009983,0.402075161,3,2
0.509713674,1,0.422984403,0.705171644,0.477316814,0.804401599,1,0.432245376,0.4025033,3,3
0.419607372,1,0.354859708,0.588826215,0.422984403,0.705171644,1,0.386740671,0.357513067,3,4
0.326820669,1,0.279924581,0.475043785,0.354859708,0.588826215,-1,0.31602122,0.291136656,3,5
0.278303692,1,0.228475324,0.419185578,0.279924581,0.475043785,-1,0.27933784,0.252364294,3,6
0.283537873,1,0.19537987,0.40927157,0.228475324,0.419185578,1,0.275557402,0.242209192,3,7
0.282842737,1,0.161714193,0.400910459,0.19537987,0.40927157,1,0.254973394,0.218345976,3,8
0.256520693,1,0.13249859,0.386446262,0.161714193,0.400910459,-1,0.216169412,0.179045493,3,9
0.274513949,1,0.126839651,0.401670037,0.13249859,0.386446262,-1,0.197000035,0.159251676,3,10
0.324863754,1,0.158826475,0.462426108,0.126839651,0.401670037,1,0.207960999,0.158494771,3,11
0.355864063,1,0.239143308,0.576736029,0.158826475,0.462426108,1,0.254286524,0.184803703,3,12
0.436858393,1,0.383112729,0.823132978,0.239143308,0.576736029,-1,0.399645314,0.311866558,3,13
0.803335543,1,0.642352706,1.32599239,0.383112729,0.823132978,-1,0.805790453,0.676635104,3,14
1.715382622,1,1.061625431,2.080338993,0.642352706,1.32599239,1,1.591873739,1.432438011,3,15
2.530595281,1,1.512694135,2.729288022,1.061625431,2.080338993,1,2.326327234,2.244792453,3,16
2.53292049,1,1.859247208,3.003175482,1.512694135,2.729288022,-1,2.573027483,2.619265704,3,17
2.572052552,1,2.163944655,3.039598525,1.859247208,3.003175482,-1,2.747160422,2.826273882,3,18
2.778980706,1,2.435402311,2.862472422,2.163944655,3.039598525,1,2.973666017,3.008146333,3,19
2.560797061,1,2.447494763,2.367464084,2.435402311,2.862472422,1,2.767238519,2.742784042,3,20
2.097002547,1,2.250594089,1.845167114,2.447494763,2.367464084,-1,2.307952734,2.202528668,3,21
1.954387971,1,2.149749013,1.577192635,2.250594089,1.845167114,-1,2.16523654,2.014187464,3,22
2.225226395,1,2.188853876,1.571634955,2.149749013,1.577192635,1,2.357729822,2.217550471,3,23
2.296516783,1,2.174546968,1.600351255,2.188853876,1.571634955,1,2.382106614,2.321593622,3,24
2.117127936,1,2.090396315,1.601104861,2.174546968,1.600351255,-1,2.199860586,2.194915987,3,25
2.21180625,1,2.133112395,1.734704113,2.090396315,1.601104861,-1,2.227337191,2.297662522,3,26
2.656452716,1,2.2972681,2.000853245,2.133112395,1.734704113,1,2.49510806,2.59073155,3,27
2.678028769,1,2.358999828,2.122954813,2.2972681,2.000853245,1,2.5763283,2.559977691,3,28
2.268744232,1,2.305123124,2.033586548,2.358999828,2.122954813,-1,2.32699283,2.247577192,3,29
2.191141244,1,2.362941468,2.004313314,2.305123124,2.033586548,-1,2.331833856,2.229670714,3,30
2.495776177,1,2.550400904,2.121882978,2.362941468,2.004313314,1,2.598041251,2.483882502,3,31
2.695950857,1,2.63145807,2.233782982,2.550400904,2.121882978,1,2.70200578,2.605998116,3,32
2.565540847,1,2.582290874,2.317519512,2.63145807,2.233782982,-1,2.525079363,2.490345572,3,33
2.676181635,1,2.642765413,2.542627335,2.582290874,2.317519512,-1,2.60468298,2.606435551,3,34
3.18543543,1,2.81028571,2.897307313,2.642765413,2.542627335,1,3.071073471,3.084469918,3,35
3.086286916,1,2.79522439,3.024642794,2.81028571,2.897307313,1,3.054426793,3.095605756,3,36
2.539021136,1,2.592624079,2.819348393,2.79522439,3.024642794,-1,2.657235057,2.705273362,3,37
2.269067031,1,2.483603358,2.582111903,2.592624079,2.819348393,-1,2.50423269,2.535379496,3,38
2.366019736,1,2.482633942,2.462633465,2.483603358,2.582111903,1,2.570046546,2.581089393,3,39
2.293923394,1,2.384118581,2.352778687,2.482633942,2.462633465,1,2.476489761,2.518103707,3,40
2.178974761,1,2.239162739,2.24061693,2.384118581,2.352778687,-1,2.270643149,2.376652693,3,41
2.303956146,1,2.238278771,2.274317895,2.239162739,2.24061693,-1,2.383772707,2.554046989,3,42
2.792385517,1,2.31420738,2.45446652,2.238278771,2.274317895,1,2.711464062,2.873689565,3,43
2.5728771,1,2.191328316,2.414575395,2.31420738,2.45446652,1,2.564565712,2.601198249,3,44
1.893114047,1,1.864528678,2.146518779,2.191328316,2.414575395,-1,1.984936304,1.940241557,3,45
1.528764766,1,1.54391388,1.896133881,1.864528678,2.146518779,-1,1.511353825,1.421831841,3,46
1.334058313,1,1.245653254,1.687894484,1.54391388,1.896133881,1,1.124304674,1.096068447,3,47
0.968897245,1,0.861411192,1.40250631,1.245653254,1.687894484,1,0.738602863,0.769654751,3,48
0.688528584,1,0.551687515,1.078625015,0.861411192,1.40250631,1,0.616339781,0.500516889,4,1
0.626362794,1,0.467138205,0.886354432,0.551687515,1.078625015,1,0.514088979,0.447153097,4,2
0.469101077,1,0.374909035,0.748033181,0.467138205,0.886354432,-1,0.399668058,0.353225583,4,3
0.380011234,1,0.316827029,0.669909191,0.374909035,0.748033181,-1,0.351096293,0.311564042,4,4
0.3641669,1,0.279233963,0.618582592,0.316827029,0.669909191,1,0.342292326,0.305039473,4,5
0.300915538,1,0.233613354,0.552131192,0.279233963,0.618582592,1,0.310086824,0.266328939,4,6
0.257532023,1,0.185752713,0.502200453,0.233613354,0.552131192,-1,0.2564555,0.22286304,4,7
0.269539673,1,0.154251765,0.48300852,0.185752713,0.502200453,-1,0.225300255,0.199527185,4,8
0.297874933,1,0.13797729,0.486609535,0.154251765,0.48300852,1,0.233631116,0.198991516,4,9
0.310461592,1,0.130877964,0.476870514,0.13797729,0.486609535,1,0.228435575,0.181859745,4,10
0.296197204,1,0.147233048,0.459965743,0.130877964,0.476870514,-1,0.207796899,0.152944421,4,11
0.307023111,1,0.219706258,0.529762726,0.147233048,0.459965743,-1,0.249505457,0.185013509,4,12
0.47177156,1,0.38130002,0.801730603,0.219706258,0.529762726,1,0.462807858,0.366684757,4,13
0.906579237,1,0.632580187,1.334707467,0.38130002,0.801730603,1,0.883365483,0.776627984,4,14
1.462062791,1,0.953530973,1.996391831,0.632580187,1.334707467,-1,1.366597532,1.329097404,4,15
2.088774453,1,1.35727556,2.599982509,0.953530973,1.996391831,-1,1.929205821,2.041477246,4,16
2.80975404,1,1.837637571,3.0988191,1.35727556,2.599982509,1,2.597117895,2.892575453,4,17
2.760034561,1,2.161527815,3.12659145,1.837637571,3.0988191,1,2.807820123,3.154169296,4,18
2.284305616,1,2.257557651,2.680766009,2.161527815,3.12659145,-1,2.539378019,2.811023996,4,19
2.225757365,1,2.322685522,2.239696582,2.257557651,2.680766009,-1,2.415566058,2.563541118,4,20
2.357711437,1,2.393436792,1.962963826,2.322685522,2.239696582,1,2.483176184,2.51772139,4,21
